What is the primary purpose of coagulation in water treatment?,"To destabilise colloidal particles by adding chemicals (coagulants) to neutralise their negative charge, allowing them to aggregate."
How does flocculation differ from coagulation in water treatment?,"Flocculation is a slow mixing process that encourages destabilised particles to collide and form larger flocs, whereas coagulation is a fast mixing process for chemical dispersion."
"In coagulation, what is the mechanism of 'Diffuse Layer Compression'?","High ionic strength in the water compresses the electrical double layer around a particle, which lowers the repulsive energy barrier between particles."
What is the 'Charge Neutralisation' mechanism in coagulation?,"Positively charged coagulant ions, such as $Al^{3+}$ or $Fe^{3+}$, adsorb onto negatively charged dirt particles, neutralising their surface charge."
Describe the 'Sweep Flocculation' mechanism of coagulation.,"A high dose of coagulant forms a metal hydroxide precipitate, like $Al(OH)_3$, which physically 'sweeps' colloidal particles down as it settles."
What is the 'Inter-particle Bridging' mechanism in coagulation?,"Long polymer chains attach to multiple colloidal particles simultaneously, bridging them together like a net to form larger aggregates."
"In coagulation, what is 're-stabilisation' and what causes it?","Re-stabilisation occurs when an overdose of coagulant makes the particles become positively charged, causing them to repel each other again and preventing floc formation."
What is the purpose of 'Tapered Flocculation'?,It uses a series of tanks with decreasing mixing intensity (G) to build large flocs initially (high G) and then prevent them from shearing apart before settling (low G).
What is the primary objective of a Jar Test in water treatment?,To determine the optimum coagulant dose and pH for effective turbidity removal.
"In a Jar Test, what does the typical graph of Turbidity vs. Coagulant Dose look like?","It is a U-shaped curve, where turbidity is high at low and high (overdose) doses, and at a minimum at the optimum dose."
How do coagulants like Alum or Ferric Chloride affect water chemistry?,They produce $H^+$ ions (acid) and consume the water's alkalinity (buffering capacity).
What must be done if a water source has insufficient alkalinity for coagulation with alum?,"A supplementary chemical, such as Lime or Soda Ash, must be added to provide the necessary alkalinity for the reaction to proceed."
"What is the formula for the mean velocity gradient, $G$, in a flocculation tank?","The formula is $G = \sqrt{\frac{P}{\mu V}}$, where P is power, $\mu$ is dynamic viscosity, and V is volume."
What does the dimensionless parameter $Gt$ represent in flocculation design?,"It represents the product of the mean velocity gradient ($G$) and the retention time ($t$), indicating the overall opportunity for particle collisions."
