What is the primary purpose of coagulation in drinking water treatment?,"To destabilise colloidal particles, allowing them to aggregate during the subsequent flocculation stage."
"Which formula relates the mean velocity gradient ($G$), power input ($P$), dynamic viscosity ($\mu$), and volume ($V$) in a flocculation chamber?",The formula is $G = \sqrt{P / (\mu V)}$ or $G = (P / (\mu V))^{1/2}$.
Name the four distinct classes of particle settling in water treatment.,"The four classes are Type 1 (discrete), Type 2 (flocculent), Type 3 (hindered or zone), and Type 4 (compression)."
"What is the key benefit of using dual-media filters (e.g., anthracite and sand) compared with single-media sand filters?","They allow for depth filtration, where larger particles are removed at the top and smaller particles deeper in the bed, leading to longer filter runs."
The Carmen-Kozeny equation is used to determine the _____ across a granular filter bed.,head loss
What does the 'Ct' value represent in the context of water disinfection?,"It represents the product of the disinfectant concentration (C) and the contact time (t), used to determine the level of pathogen inactivation."
"In wastewater analysis, Total Solids (TS) is the sum of which two components?",Total Solids (TS) is the sum of Suspended Solids (SS) and Dissolved Solids (DS).
"The Rational Method, given by the formula $Q = 2.78CiA$, is used to estimate what in sewer design?",It is used to estimate the peak stormwater runoff rate for a given catchment area.
"What is the term for a condition in an activated sludge process where the sludge has poor settling characteristics, often caused by the growth of filamentous bacteria?",Sludge bulking.
What are the two main stages of two-stage anaerobic digestion and what happens in each?,"The primary stage involves hydrolysis and acidogenesis (acid formation), while the secondary stage involves methanogenesis (methane formation)."
What is meant by 'tapered flocculation' in water treatment design?,"It is the practice of decreasing the mixing intensity (mean velocity gradient, G) through a series of flocculation chambers to prevent the breakup of larger, newly formed flocs."
What is the term for a defined section of a water distribution network that is isolated and metered to monitor flows and manage leakage?,A District Metered Area (DMA).
"An increase in water pH from 6.5 to 8.0 would generally result in _____ disinfection performance by free chlorine, all else being equal.",worse (or less effective)
What is 're-stabilisation' in the context of coagulation?,"It is a condition caused by overdosing a coagulant, where particles regain a net surface charge and repel each other again, leading to poor flocculation."
"In wastewater analysis, what is the fundamental difference between Biochemical Oxygen Demand (BOD) and Chemical Oxygen Demand (COD)?","BOD measures the amount of oxygen consumed by microorganisms to decompose biodegradable organic matter, while COD measures the oxygen required to chemically oxidise nearly all organic matter."
Name the four main steps of anaerobic digestion in the breakdown of complex organic matter.,"The four steps are hydrolysis, acidogenesis, acetogenesis, and methanogenesis."
"The biological conversion of ammonia to nitrate is known as _____, while the subsequent conversion of nitrate to nitrogen gas is called _____.","nitrification, denitrification"
"In a flocculent settling column test, the results are plotted as lines of equal removal percentage. What are these lines called?",Iso-removal curves.
What is the relationship between Solids Retention Time (SRT or $θ_c$) and Hydraulic Retention Time (HRT or $θ$) in a conventional activated sludge system?,Solids Retention Time (SRT) is significantly longer than the Hydraulic Retention Time (HRT) due to the recycling of biomass from the secondary clarifier.
"To calculate the Dry Weather Flow (DWF) for a sewer system, you sum the domestic wastewater generation, industrial effluent, and what other component?",Infiltration (groundwater leaking into the sewer pipes).
